Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
followup,2,2007-2012,464,407,AASM,5-10.5,7.5±1.4,51.7,19.6±5.0,4.1±7.5,7.9±4.1,18.2±30.4,6.1 pm 4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.5 pm 15.1,-,588.9±77.4,460.7±51.3,79.0±9.8,89.0±66.4*,39.2±34.4,7.6±4.1,43.6±7.3,30.6±7.4,18.2±4.2,,,,
nonrandomized,2,2007-2012,464,779,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,575.9±75.1,449.2±57.5,78.7±10.3,81.3±58.9*,45.3±38.5,8.1±4.0,42.2±8.8,31.4±8.5,18.2±4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS,1,2021-2022,113,113,AASM,-,71% >50*,27.4*,42% >30*,107.9±39.6,21.0±10.4,-,7.8±5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,435.9±37.2,304.6±73.1,69.9±16.0,22.1±19.4,108.8±65.8,15.7±11.8,51.2±11.6,19.3±11.7,13.7±6.4,"80% OSA, 40% BMI >30",upon request,10.48550/ARXIV.2409.13367,10.13026/SXS0-H317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCSM,1,2015-2018,255,255,AASM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1110.3±75.5 *,443.3±102.6,40.0±9.1 *,352.3±270.0 *,314.8±240.2 *,9.9±9.6,50.3±10.2,19.4±11.1,20.4±7.1,"diverse wrt demographic characteristics, diagnostic background, and sleep/non-sleep related medication usage",public,10.1038/s41746-021-00440-5,10.17894/UCPH.282D3C1E-9B98-4C1E-886E-704AFDFA9179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOD-H,1,2020,25,25,AASM,-,35.3±7.5,36.0,23.8±3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,487.7±54.7,432.5±69.4,88.4±7.5,17.8±19.0,37.3±27.6,7.1±3.6,54.8±8.7,16.2±8.3,21.9±6.6,free of sleep disorders,public,10.1109/TNSRE.2020.3011181,10.5281/ZENODO.15900393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOD-O,1,2020,55,56,AASM,-,45.6±16.5,36.4,29.6±6.4,18.5±16.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477.0±54.4,388.7±81.8,81.3±13.3,16.5±16.0,71.8±55.5,7.2±5.3,61.5±11.5,13.1±8.7,18.2±8.1,sleep-disordered breathing,public,10.1109/TNSRE.2020.3011181,10.5281/ZENODO.15900393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAMT,1,2022,100,100,AASM,21-86,56.2±16.6,55.0,33.7±8.6,22.1±28.7,37.7±25.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,392.8±42.6,299.1±75.5,75.6±16.8,22.9±22.1,70.7±54.8,15.4±11.5,67.4±10.9,4.2±7.4,13.0±8.0,sleep disorder,upon request,https://proceedings.mlr.press/v248/wang24a.html,10.13026/DZTC-DV77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
